"Timestamp","How old are you?","Where are you from?","Do you live on campus?","Which residence hall do you live in?","Do you have a roommate?","Do you feel comfortable in your room at all times?","Do you enjoy eating in the Dining Hall?","Do you feel nourished after eating on campus?","Do you enjoy being on campus?","Do you feel safe walking around campus?","Do you like living in Nashville?","Do you have a car on campus?","Do you have problems parking on campus?","Do you feel as though you can’t get to class on time because of your parking situation?","Have you used public transportation since living in Nashville/on Belmont’s campus?","Other thoughts about your experience of Belmont:"
"2023/01/30 3:50:27 PM CST","18-20","Southeast","Yes","TK","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No",""
"2023/01/30 3:50:30 PM CST","18-20","Midwest","Yes","TK","Yes","Yes","No","No","Sometimes","Yes","Yes","Yes","No","No","No",""
"2023/01/30 3:50:44 PM CST","18-20","Southeast","Yes","TK","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No",""
"2023/01/30 3:50:47 PM CST","18-20","Midwest","Yes","TK","Yes","No","No","No","Sometimes","Yes","Yes","No","No","Yes","No",""
"2023/01/30 3:52:46 PM CST","18-20","Northeast","Yes","Kennedy","Yes","No","No","No","Sometimes","Yes","Yes","No","No","No","No","N/A"
"2023/01/30 3:52:48 PM CST","Under 17","Northeast","Yes","Patton","Yes","Yes","No","","No","No","Yes","Yes","Yes","Yes","No","Belmont is honestly the biggest social experiment for Christian’s, this “Christian school” isn’t Christian at all, profs aren’t Christian and most of them don’t understand the values of being a Christian and honestly it really is hard going here and also being a Christian, have and finding friends that are also Christian and trying to find groups with people are crazy hard and there is also no “campus life” it’s always so mopey and sad and there’s never anything going on "
"2023/01/30 3:55:11 PM CST","18-20","Southeast","Yes","TK","No","Yes","Yes","No","Sometimes","Yes","No","Yes","No","No","No",""
"2023/01/30 3:56:18 PM CST","18-20","Midwest","Yes","TK","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No",""
"2023/01/30 3:56:53 PM CST","18-20","Southeast","Yes","TK","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No",""
"2023/01/30 4:00:23 PM CST","18-20","Southeast","Yes","TK","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No",""
"2023/01/30 4:04:53 PM CST","18-20","Southeast","Yes","TK","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Needs better recreational facilities"
"2023/01/30 4:08:39 PM CST","18-20","Southeast","Yes","TK","No","Yes","No","No","Sometimes","Yes","No","Yes","Yes","No","No",""
